SHA,URL,Parent,Independent,Pure,Operation,Location,Src,Dst
9abeb861ecbf348447cf711cea1735c3f5bca8a7,https://github.com/scikit-learn/scikit-learn/commit/9abeb861ecbf348447cf711cea1735c3f5bca8a7,https://github.com/scikit-learn/scikit-learn/commit/26d218cfeb80908a52bbfc302dc5f43cef4b5181,1,1,Clean Up,sklearn/linear_model/_base.py,Variable _residues,
993fbe7dc3d92b0a60f8881775e8967fa50da0b7,https://github.com/scikit-learn/scikit-learn/commit/993fbe7dc3d92b0a60f8881775e8967fa50da0b7,https://github.com/scikit-learn/scikit-learn/commit/7e83a5397e7c1ac6f68165a452b3efe033503390,1,1,Clean Up,scikits/learn/decomposition/sparse_pca.py,Method _ridge_regression,
97a5241de5263ad6d849cb6863a03c3188caf2cd,https://github.com/scikit-learn/scikit-learn/commit/97a5241de5263ad6d849cb6863a03c3188caf2cd,https://github.com/scikit-learn/scikit-learn/commit/1215c0e97cf49b93b272da475d0f83453618123a,1,1,Clean Up,sklearn/metrics/pairwise.py,Method l1_distances,
9631a67388014c851091007d324420d1138b5892,https://github.com/scikit-learn/scikit-learn/commit/9631a67388014c851091007d324420d1138b5892,https://github.com/scikit-learn/scikit-learn/commit/53624e8c26a541bd8e976771679e9c0c838ad5d5,1,1,Clean Up,sklearn/datasets/lfw.py,Method scale_face,
943239592e7c65254eec8956eb38fe04fe116723,https://github.com/scikit-learn/scikit-learn/commit/943239592e7c65254eec8956eb38fe04fe116723,https://github.com/scikit-learn/scikit-learn/commit/0be2a1efd4eecb1e490dc6a3c54f3e36d784234c,1,1,Clean Up,examples/svm/plot_svm_regression.py,Variable y_rbf,
943239592e7c65254eec8956eb38fe04fe116723,https://github.com/scikit-learn/scikit-learn/commit/943239592e7c65254eec8956eb38fe04fe116723,https://github.com/scikit-learn/scikit-learn/commit/0be2a1efd4eecb1e490dc6a3c54f3e36d784234c,1,1,Clean Up,examples/svm/plot_svm_regression.py,Variable y_lin,
943239592e7c65254eec8956eb38fe04fe116723,https://github.com/scikit-learn/scikit-learn/commit/943239592e7c65254eec8956eb38fe04fe116723,https://github.com/scikit-learn/scikit-learn/commit/0be2a1efd4eecb1e490dc6a3c54f3e36d784234c,1,1,Clean Up,examples/svm/plot_svm_regression.py,Variable y_poly,
91c6c3b84c1ab90f28c63a2dd8b09542ac789f1c,https://github.com/scikit-learn/scikit-learn/commit/91c6c3b84c1ab90f28c63a2dd8b09542ac789f1c,https://github.com/scikit-learn/scikit-learn/commit/bbc6b809b6f531af2685d36acebace018a8b060d,1,1,Clean Up,sklearn/metrics/cluster/tests/test_unsupervised.py,Variable data,
914d3b169d7d56fcb61e6217ae3b7f5870a37d77,https://github.com/scikit-learn/scikit-learn/commit/914d3b169d7d56fcb61e6217ae3b7f5870a37d77,https://github.com/scikit-learn/scikit-learn/commit/8747939cd9944fd5825a26a846fe3cdebcefc64b,1,2,Clean Up,scikits/learn/cluster/k_means_.py,Method batch_k_means,
906b942c9fff651383bc2e7ec5ceb5d13c26e8a7,https://github.com/scikit-learn/scikit-learn/commit/906b942c9fff651383bc2e7ec5ceb5d13c26e8a7,https://github.com/scikit-learn/scikit-learn/commit/301733c2d031d568de5977bb47c5e69159f7cae8,1,1,Clean Up,sklearn/ensemble/gradient_boosting.py,Method unique_rows2,
906b942c9fff651383bc2e7ec5ceb5d13c26e8a7,https://github.com/scikit-learn/scikit-learn/commit/906b942c9fff651383bc2e7ec5ceb5d13c26e8a7,https://github.com/scikit-learn/scikit-learn/commit/301733c2d031d568de5977bb47c5e69159f7cae8,1,1,Clean Up,sklearn/ensemble/gradient_boosting.py,Method unique_rows,
8fdd8275d5186c15973106837f6255236a9edb25,https://github.com/scikit-learn/scikit-learn/commit/8fdd8275d5186c15973106837f6255236a9edb25,https://github.com/scikit-learn/scikit-learn/commit/f9cc40a690d2207f6de2d72dc286aeffdb1b8e67,1,0,Clean Up,scikits/learn/decomposition/sparse_pca.py,Method _gen_even_slices,
8fbb20eabf5809631c46baec74f60a9ee1a52495,https://github.com/scikit-learn/scikit-learn/commit/8fbb20eabf5809631c46baec74f60a9ee1a52495,https://github.com/scikit-learn/scikit-learn/commit/3df67e01399c3eabbb9bc53b8e74b3f6d5c0e8c2,1,1,Clean Up,sklearn/covariance/_graph_lasso.py,Method grid_scores_,
8fbb20eabf5809631c46baec74f60a9ee1a52495,https://github.com/scikit-learn/scikit-learn/commit/8fbb20eabf5809631c46baec74f60a9ee1a52495,https://github.com/scikit-learn/scikit-learn/commit/3df67e01399c3eabbb9bc53b8e74b3f6d5c0e8c2,1,1,Clean Up,sklearn/covariance/_graph_lasso.py,Method cv_alphas_,
8fbb20eabf5809631c46baec74f60a9ee1a52495,https://github.com/scikit-learn/scikit-learn/commit/8fbb20eabf5809631c46baec74f60a9ee1a52495,https://github.com/scikit-learn/scikit-learn/commit/3df67e01399c3eabbb9bc53b8e74b3f6d5c0e8c2,1,1,Clean Up,sklearn/covariance/tests/test_graphical_lasso.py,Method test_graphical_lasso_cv_grid_scores_and_cv_alphas_deprecated,
8f397b6d8188d4e957455c6176365e8e8a9af83f,https://github.com/scikit-learn/scikit-learn/commit/8f397b6d8188d4e957455c6176365e8e8a9af83f,https://github.com/scikit-learn/scikit-learn/commit/f09c98aef5fda95b97685ed275e28341c8cbed53,1,1,Clean Up,sklearn/linear_model/coordinate_descent.py,Method _set_coef,
8de51b7072ee9ecd59c65f3e57ee6e035917409e,https://github.com/scikit-learn/scikit-learn/commit/8de51b7072ee9ecd59c65f3e57ee6e035917409e,https://github.com/scikit-learn/scikit-learn/commit/6bc18b132d889e3fb96eb79a36b02f4f57f7cb65,1,1,Clean Up,scikits/learn/bayes/regression.py,Method bayesian_regression_noprior,
8de51b7072ee9ecd59c65f3e57ee6e035917409e,https://github.com/scikit-learn/scikit-learn/commit/8de51b7072ee9ecd59c65f3e57ee6e035917409e,https://github.com/scikit-learn/scikit-learn/commit/6bc18b132d889e3fb96eb79a36b02f4f57f7cb65,1,1,Clean Up,scikits/learn/bayes/regression.py,Class BayesianRegression,
8de51b7072ee9ecd59c65f3e57ee6e035917409e,https://github.com/scikit-learn/scikit-learn/commit/8de51b7072ee9ecd59c65f3e57ee6e035917409e,https://github.com/scikit-learn/scikit-learn/commit/6bc18b132d889e3fb96eb79a36b02f4f57f7cb65,1,1,Clean Up,scikits/learn/bayes/tests/test_bayes.py,Method test_toy_noprior_regression,
8d6bd0b7e58ed7eb7637eed1294a14388de00fe1,https://github.com/scikit-learn/scikit-learn/commit/8d6bd0b7e58ed7eb7637eed1294a14388de00fe1,https://github.com/scikit-learn/scikit-learn/commit/aadac4231db4af6f8dd5c051544aa6afac303d9c,1,1,Clean Up,scikits/learn/em/tests/test_densities.py,Method test_underlow,
8d6bd0b7e58ed7eb7637eed1294a14388de00fe1,https://github.com/scikit-learn/scikit-learn/commit/8d6bd0b7e58ed7eb7637eed1294a14388de00fe1,https://github.com/scikit-learn/scikit-learn/commit/aadac4231db4af6f8dd5c051544aa6afac303d9c,1,1,Clean Up,scikits/learn/em/tests/test_densities.py,Method naive_logsumexp,
8d0fadabbc5cc0921fb2c7fdabc1659812ba03e8,https://github.com/scikit-learn/scikit-learn/commit/8d0fadabbc5cc0921fb2c7fdabc1659812ba03e8,https://github.com/scikit-learn/scikit-learn/commit/6a0ba6c1b98f28b09ac687d9b6bec01180c095e6,1,2,Clean Up,sklearn/manifold/t_sne.py,Method score,
8d0fadabbc5cc0921fb2c7fdabc1659812ba03e8,https://github.com/scikit-learn/scikit-learn/commit/8d0fadabbc5cc0921fb2c7fdabc1659812ba03e8,https://github.com/scikit-learn/scikit-learn/commit/6a0ba6c1b98f28b09ac687d9b6bec01180c095e6,1,2,Clean Up,sklearn/manifold/t_sne.py,Method inverse_transform,
8d0fadabbc5cc0921fb2c7fdabc1659812ba03e8,https://github.com/scikit-learn/scikit-learn/commit/8d0fadabbc5cc0921fb2c7fdabc1659812ba03e8,https://github.com/scikit-learn/scikit-learn/commit/6a0ba6c1b98f28b09ac687d9b6bec01180c095e6,1,2,Clean Up,sklearn/manifold/t_sne.py,Method transform,
8d0fadabbc5cc0921fb2c7fdabc1659812ba03e8,https://github.com/scikit-learn/scikit-learn/commit/8d0fadabbc5cc0921fb2c7fdabc1659812ba03e8,https://github.com/scikit-learn/scikit-learn/commit/6a0ba6c1b98f28b09ac687d9b6bec01180c095e6,1,2,Clean Up,sklearn/manifold/tests/test_t_sne.py,Method test_transform_inverse_transform,
8d0fadabbc5cc0921fb2c7fdabc1659812ba03e8,https://github.com/scikit-learn/scikit-learn/commit/8d0fadabbc5cc0921fb2c7fdabc1659812ba03e8,https://github.com/scikit-learn/scikit-learn/commit/6a0ba6c1b98f28b09ac687d9b6bec01180c095e6,1,2,Clean Up,sklearn/manifold/tests/test_t_sne.py,Method test_precomputed_affinities_inverse_transform,
8d0fadabbc5cc0921fb2c7fdabc1659812ba03e8,https://github.com/scikit-learn/scikit-learn/commit/8d0fadabbc5cc0921fb2c7fdabc1659812ba03e8,https://github.com/scikit-learn/scikit-learn/commit/6a0ba6c1b98f28b09ac687d9b6bec01180c095e6,1,2,Clean Up,sklearn/manifold/tests/test_t_sne.py,Method test_inverse_transform_not_fitted,
8d0fadabbc5cc0921fb2c7fdabc1659812ba03e8,https://github.com/scikit-learn/scikit-learn/commit/8d0fadabbc5cc0921fb2c7fdabc1659812ba03e8,https://github.com/scikit-learn/scikit-learn/commit/6a0ba6c1b98f28b09ac687d9b6bec01180c095e6,1,2,Clean Up,sklearn/manifold/tests/test_t_sne.py,Method test_cannot_generalize_with_precomputed_affinities,
8c3a986500f72cc770b5a6e4d5bb5752c56688d7,https://github.com/scikit-learn/scikit-learn/commit/8c3a986500f72cc770b5a6e4d5bb5752c56688d7,https://github.com/scikit-learn/scikit-learn/commit/7d9114cbf708e1d3f89fc720cc820d738a858fd5,1,1,Clean Up,sklearn/dummy.py,Variable indices,
8c3a986500f72cc770b5a6e4d5bb5752c56688d7,https://github.com/scikit-learn/scikit-learn/commit/8c3a986500f72cc770b5a6e4d5bb5752c56688d7,https://github.com/scikit-learn/scikit-learn/commit/7d9114cbf708e1d3f89fc720cc820d738a858fd5,1,1,Clean Up,sklearn/dummy.py,Variable data,
8c3a986500f72cc770b5a6e4d5bb5752c56688d7,https://github.com/scikit-learn/scikit-learn/commit/8c3a986500f72cc770b5a6e4d5bb5752c56688d7,https://github.com/scikit-learn/scikit-learn/commit/7d9114cbf708e1d3f89fc720cc820d738a858fd5,1,1,Clean Up,sklearn/dummy.py,Variable indpt,
8a4cb4871d07c0ddd966fce0959d8118a8f62c59,https://github.com/scikit-learn/scikit-learn/commit/8a4cb4871d07c0ddd966fce0959d8118a8f62c59,https://github.com/scikit-learn/scikit-learn/commit/8d815af7326506e78a115f51e97670b3ea00e938,1,1,Clean Up,sklearn/metrics/scorer.py,Variable f1_scorer,
8a4cb4871d07c0ddd966fce0959d8118a8f62c59,https://github.com/scikit-learn/scikit-learn/commit/8a4cb4871d07c0ddd966fce0959d8118a8f62c59,https://github.com/scikit-learn/scikit-learn/commit/8d815af7326506e78a115f51e97670b3ea00e938,1,1,Clean Up,sklearn/metrics/scorer.py,Variable precision_scorer,
8a4cb4871d07c0ddd966fce0959d8118a8f62c59,https://github.com/scikit-learn/scikit-learn/commit/8a4cb4871d07c0ddd966fce0959d8118a8f62c59,https://github.com/scikit-learn/scikit-learn/commit/8d815af7326506e78a115f51e97670b3ea00e938,1,1,Clean Up,sklearn/metrics/scorer.py,Variable recall_scorer,
899cc876c2a50798af6e0a9398f8fc19056c87f4,https://github.com/scikit-learn/scikit-learn/commit/899cc876c2a50798af6e0a9398f8fc19056c87f4,https://github.com/scikit-learn/scikit-learn/commit/e1fd9554d8a574e4f8c09cb2dafcebfbde4cf970,1,1,Clean Up,sklearn/grid_search.py,Variable samples,
89813e9ec1cf6c74e7d46e7c60fa7bc13172319a,https://github.com/scikit-learn/scikit-learn/commit/89813e9ec1cf6c74e7d46e7c60fa7bc13172319a,https://github.com/scikit-learn/scikit-learn/commit/4575b322c1df02f0fb51612dd982715602da3a36,1,1,Clean Up,sklearn/grid_search.py,Method best_estimator,
89813e9ec1cf6c74e7d46e7c60fa7bc13172319a,https://github.com/scikit-learn/scikit-learn/commit/89813e9ec1cf6c74e7d46e7c60fa7bc13172319a,https://github.com/scikit-learn/scikit-learn/commit/4575b322c1df02f0fb51612dd982715602da3a36,1,1,Clean Up,sklearn/grid_search.py,Method best_score,
872ea4b2cef00c047a99e6160bb02a9153e1b586,https://github.com/scikit-learn/scikit-learn/commit/872ea4b2cef00c047a99e6160bb02a9153e1b586,https://github.com/scikit-learn/scikit-learn/commit/71ff28c87d9626b2d39b492f83b08edc4f5d5db1,1,1,Clean Up,sklearn/metrics/metrics.py,Method weighted_r2_score,
872ea4b2cef00c047a99e6160bb02a9153e1b586,https://github.com/scikit-learn/scikit-learn/commit/872ea4b2cef00c047a99e6160bb02a9153e1b586,https://github.com/scikit-learn/scikit-learn/commit/71ff28c87d9626b2d39b492f83b08edc4f5d5db1,1,1,Clean Up,sklearn/metrics/tests/test_metrics.py,Method test_weighted_r2_score,
